ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,rtn_t+3,eps_est,eps_actual,surp_amt,rev_surp%,report_day_of week,t-1,t+3,rtn_t+3_check,mkt_t+3_rtn,rel_t+3_rtn,num_ests_qtr_end,t-7,t-7_high_est,t-7_low_est,est_spread,spread_adj_surp
ALB,Albemarle Corporation,ALB.1Q16,2200,2210,1Q16,2016/1F,76.2,05/11/2016,14.7,0.85,1.12,0.27,6.2,3,5/10/2016,5/16/2016,14.7,-0.9,15.5,15,5/4/2016,0.90,0.80,0.10,2.651
DGI,"DigitalGlobe, Inc.",DGI.1Q16,4900,4910,1Q16,2016/1F,10.2,04/28/2016,14.6,-0.04,0.11,0.15,5.3,4,4/27/2016,5/3/2016,14.6,-1.6,16.2,8,4/21/2016,0.07,-0.14,0.21,0.712
MNST,Monster Beverage Corporation,MNST.1Q16,2400,2420,1Q16,2016/1F,203.9,04/29/2016,14.5,0.25,0.27,0.02,3.6,5,4/28/2016,5/4/2016,14.5,-1.2,15.7,17,4/22/2016,0.28,0.22,0.05,0.378
ABCO,Advisory Board Company,ABCO.1Q16,3200,3205,1Q16,2016/1F,22.0,05/06/2016,14.4,0.38,0.46,0.08,-0.5,5,5/5/2016,5/11/2016,14.4,0.7,13.8,16,4/29/2016,0.42,0.32,0.10,0.769
JACK,Jack in the Box Inc.,JACK.1Q16,3400,3435,1Q16,2016/2F,75.2,05/12/2016,14.3,0.70,0.85,0.15,0.3,4,5/11/2016,5/17/2016,14.3,-0.9,15.2,14,5/5/2016,0.76,0.69,0.07,2.167
IAC,IAC/InterActiveCorp.,IAC.1Q16,3300,3320,1Q16,2016/1F,49.4,05/04/2016,14.1,0.34,0.42,0.08,2.0,3,5/3/2016,5/9/2016,14.1,-0.2,14.4,18,4/27/2016,0.49,0.15,0.34,0.246
GBX,"Greenbrier Companies, Inc.",GBX.1Q16,1200,1220,1Q16,2016/2F,22.1,04/05/2016,14.1,1.56,1.41,-0.15,-7.9,2,4/4/2016,4/8/2016,14.1,-0.9,15.0,11,3/29/2016,2.15,1.28,0.87,-0.170
TDC,Teradata Corporation,TDC.1Q16,1300,1340,1Q16,2016/1F,50.5,05/05/2016,13.7,0.37,0.47,0.10,-0.6,4,5/4/2016,5/10/2016,13.7,1.6,12.1,26,4/28/2016,0.54,0.29,0.25,0.394
MDR,"McDermott International, Inc.",MDR.1Q16,3100,3110,1Q16,2016/1F,12.6,05/06/2016,13.7,0.01,-0.03,-0.04,4.0,5,5/5/2016,5/11/2016,13.7,0.7,13.1,7,4/29/2016,0.09,-0.06,0.15,-0.240
HPE,Hewlett Packard Enterprise Co.,HPE.1Q16,1300,1340,1Q16,2016/2F,105.2,05/25/2016,13.7,0.24,0.24,0.00,2.8,3,5/24/2016,5/30/2016,12.4,1.1,11.2,29,5/18/2016,0.26,0.23,0.03,0.091
JEC,Jacobs Engineering Group Inc.,JEC.1Q16,3100,3115,1Q16,2016/2F,39.1,05/05/2016,13.5,0.68,0.75,0.07,0.2,4,5/4/2016,5/10/2016,13.5,1.6,11.9,18,4/28/2016,0.76,0.57,0.19,0.389
MRD,Memorial Resource Development Corp,MRD.1Q16,2100,2105,1Q16,2016/1F,41.8,05/10/2016,13.4,0.13,0.10,-0.02,-45.6,2,5/9/2016,5/13/2016,13.4,-0.6,14.0,22,5/3/2016,0.17,0.08,0.09,-0.258
FDX,FedEx Corporation,FDX.1Q16,4600,4605,1Q16,2015/3F,307.3,03/17/2016,13.3,2.35,2.51,0.16,2.4,4,3/16/2016,3/22/2016,13.3,1.2,12.1,1,3/10/2016,2.64,2.05,0.59,0.279
PE,"Parsley Energy, Inc. Class A",PE.1Q16,2100,2105,1Q16,2016/1F,55.0,05/05/2016,13.2,-0.09,-0.02,0.07,-15.3,4,5/4/2016,5/10/2016,13.2,1.6,11.6,29,4/28/2016,-0.03,-0.19,0.16,0.453
