ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,rtn_t+3,eps_est,eps_actual,surp_amt,rev_surp%,report_day_of week,t-1,t+3,rtn_t+3_check,mkt_t+3_rtn,rel_t+3_rtn,num_ests_qtr_end,t-7,t-7_high_est,t-7_low_est,est_spread,spread_adj_surp
SNBR,Sleep Number Corporation,SNBR.1Q15,1400,1420,1Q15,2015/1F,26.1,04/23/2015,-3.3,0.43,0.54,0.11,5.0,4,4/22/2015,4/28/2015,-3.3,0.3,-3.6,7,4/16/2015,0.46,0.36,0.10,1.111
SLM,SLM Corp,SLM.1Q15,4800,4830,1Q15,2015/1F,36.2,04/23/2015,3.9,0.07,0.10,0.03,5.5,4,4/22/2015,4/28/2015,3.9,0.3,3.7,9,4/16/2015,0.08,0.06,0.02,1.430
SM,SM Energy Company,SM.1Q15,2100,2105,1Q15,2015/1F,81.1,05/06/2015,0.7,0.29,0.21,-0.08,-31.3,3,5/5/2015,5/11/2015,0.7,0.8,-0.1,21,4/29/2015,0.72,-0.10,0.82,-0.101
SNA,Snap-on Incorporated,SNA.1Q15,1400,1430,1Q15,2015/1F,51.3,04/23/2015,1.6,1.82,1.87,0.05,-0.8,4,4/22/2015,4/28/2015,1.6,0.3,1.3,5,4/16/2015,1.89,1.78,0.11,0.455
SODA,SodaStream International Ltd.,SODA.1Q15,1400,1425,1Q15,2015/1F,10.9,05/06/2015,15.5,0.00,0.40,0.40,-9.5,3,5/5/2015,5/11/2015,15.5,0.8,14.7,10,4/29/2015,0.27,-0.19,0.46,0.858
SCTY,SolarCity Corp.,SCTY.1Q15,1200,1230,1Q15,2015/1F,121.7,05/06/2015,3.2,-1.60,-1.52,0.08,16.9,3,5/5/2015,5/11/2015,3.2,0.8,2.4,10,4/29/2015,-1.20,-1.74,0.54,0.154
SWI.3,"SolarWinds, Inc.",SWI.3.1Q15,3300,3310,1Q15,2015/1F,27.5,04/29/2015,-7.3,0.45,0.46,0.01,-0.6,3,4/28/2015,5/4/2015,-7.3,-0.1,-7.1,14,4/22/2015,0.46,0.44,0.02,0.495
SLH,"Solera Holdings, Inc.",SLH.1Q15,3300,3310,1Q15,2015/3F,27.5,05/07/2015,-3.7,0.80,0.74,-0.06,-0.7,4,5/6/2015,5/12/2015,-3.7,0.9,-4.7,11,4/30/2015,0.84,0.75,0.09,-0.616
SONC,Sonic Corp.,SONC.1Q15,3400,3435,1Q15,2015/2F,35.9,03/25/2015,-11.9,0.12,0.13,0.01,0.3,3,3/24/2015,3/30/2015,-11.9,-0.3,-11.7,1,3/18/2015,0.14,0.11,0.03,0.211
SON,Sonoco Products Company,SON.1Q15,2200,2235,1Q15,2015/1F,21.4,04/16/2015,-2.5,0.58,0.56,-0.02,-3.2,4,4/15/2015,4/21/2015,-2.5,-0.5,-2.1,11,4/9/2015,0.61,0.56,0.05,-0.362
BID,Sotheby's,BID.1Q15,3400,3450,1Q15,2015/1F,29.8,05/11/2015,2.0,0.00,0.11,0.11,2.6,1,5/8/2015,5/14/2015,2.0,0.3,1.7,6,5/4/2015,0.05,-0.08,0.13,0.821
SO,Southern Company,SO.1Q15,4700,4705,1Q15,2015/1F,284.9,04/29/2015,0.7,0.58,0.56,-0.02,-8.2,3,4/28/2015,5/4/2015,0.7,-0.1,0.8,7,4/22/2015,0.62,0.55,0.07,-0.260
SCCO,Southern Copper Corporation,SCCO.1Q15,1100,1125,1Q15,2015/1F,56.7,04/27/2015,5.3,0.29,0.35,0.06,-3.4,1,4/24/2015,4/30/2015,5.3,-1.6,6.9,8,4/20/2015,0.33,0.24,0.09,0.710
LUV,Southwest Airlines Co.,LUV.1Q15,4600,4610,1Q15,2015/1F,337.4,04/23/2015,-2.2,0.65,0.66,0.01,0.0,4,4/22/2015,4/28/2015,-2.2,0.3,-2.5,18,4/16/2015,0.75,0.60,0.15,0.056
